Shell Weight,Sex_I,Volume,Ratio_ShuWei,Age
8.34892775,1,0.1759169167547253,0.43933463796477495,9
3.40194,1,0.06533530971762523,0.4340136054421769,8
6.6621325,0,0.1515419620352225,0.45766590389016015,9
14.9968855,0,0.31432288997635377,0.40179071068830446,11
5.953395,1,0.11182719943686324,0.5143031029737356,8
7.93786,0,0.19033633616085036,0.4648648648648649,10
8.6465975,0,0.16416048799636973,0.3975448536355052,11
5.6699,1,0.1232706961144901,0.45081332300542215,11
10.77281,0,0.2359466982539834,0.43702081051478636,12
2.9766975,0,0.053710803307027835,0.4360385144429161,11
2.1262125,1,0.03730845806909597,0.44083526682134566,7
6.23689,0,0.12204351148418158,0.3750905141202027,10
6.9456275,0,0.12679271600347555,0.4056795131845841,10
3.40194,1,0.07140987363765236,0.3940520446096654,7
5.2446575,0,0.10603642196259494,0.4898456539398863,9
2.1262125,1,0.03681553890925539,0.4461839530332681,7
2.83495,1,0.06162921213409351,0.40029985007496255,8
10.489315,0,0.22774501430808816,0.4149782923299566,12
3.96893,1,0.07812513020008638,0.5132555673382821,7
0.737087,1,0.008614836104765761,0.4217687074829932,5
9.08601475,0,0.2069524160552276,0.4437716262975779,9
4.9611625,0,0.07784952498519628,0.34746543778801847,14
13.891255,0,0.25096385884045447,0.44570405727923623,10
6.3786375,0,0.12936571311168907,0.48514285714285715,9
2.1262125,1,0.04097876276757702,0.37728194726166325,7
9.7805775,0,0.230864108576789,0.42765502494654306,11
4.26659975,0,0.15540452565911853,0.49516908212560384,10
4.77689075,1,0.09203884727313846,0.4289568345323741,8
5.5281525,0,0.15382145748602052,0.403068340306834,9
0.510291,1,0.01227184630308513,0.266304347826087,6
4.9611625,0,0.10702277160920541,0.4341994970662196,9
8.50485,0,0.20086558028889734,0.4930555555555556,11
11.29727575,0,0.3281138885863749,0.49468569693288794,13
3.96893,1,0.08743690490948154,0.4225663716814159,9
8.221355,0,0.21858305838897654,0.4271089271089271,13
7.7961125,0,0.16624670186789423,0.4482758620689655,10
13.324265,0,0.29636508821950586,0.4134844868735083,16
5.2446575,0,0.10369710126106935,0.4146341463414634,8
0.18427175,1,0.006918253353364241,0.40476190476190477,4
3.40194,0,0.0813623409894544,0.4600219058050383,9
10.489315,0,0.2179249806309736,0.43283582089552247,11
7.7961125,0,0.15876701154616385,0.39454235361000567,18
8.221355,0,0.1875823293196663,0.4434499593165175,10
11.056305,0,0.22420203001500164,0.3215280541185834,15
11.056305,0,0.2681787025690365,0.45042796005706137,10
2.6932025,1,0.04736319080675706,0.39068564036222503,7
3.8271825,1,0.06166602767300278,0.4331983805668016,7
16.44271,0,0.35771562717713346,0.3690944881889764,17
7.1157245,0,0.1500642272095593,0.4071100917431193,9
4.9611625,1,0.08891975300443766,0.5204841713221602,8
3.685435,1,0.07507711037455764,0.459731543624161,7
8.50485,0,0.18296964909049418,0.5303220409870347,10
3.118445,1,0.06166602767300278,0.46246973365617433,7
12.0485375,0,0.31348431381230957,0.45710299930248777,11
9.1568885,0,0.19762581286488293,0.44027721157766,11
2.76407625,1,0.05793078445450124,0.4197368421052632,7
1.5592225,1,0.026323110320117603,0.43137254901960786,6
2.551455,1,0.04503972124003959,0.44582593250444047,7
14.5999925,0,0.29996380714788556,0.5100446428571428,12
4.7910655,1,0.10210176124166827,0.4553872053872054,8
11.056305,0,0.22124298107517024,0.4236371202663338,13
0.9922325,1,0.017323756364521842,0.38999999999999996,3
12.8990225,1,0.26008132931671746,0.43410852713178294,10
7.597666,1,0.12527100706189298,0.3849439402028831,10
4.3941725,1,0.08743690490948154,0.5155393053016454,7
6.0951425,0,0.11502401539881692,0.44718030182684676,10
0.7087375,1,0.014088079555941723,0.4246575342465754,4
7.087375,0,0.17312507172077343,0.42236384704519114,11
4.252425,1,0.08724515731099583,0.5192150449713818,7
6.9456275,0,0.12477399728661805,0.3582554517133956,9
5.5281525,0,0.10242491986098284,0.3404710920770878,9
3.8271825,1,0.07790168033198439,0.4034229828850856,9
13.324265,0,0.28536644597036576,0.4336035784176685,11
1.70097,1,0.041622012044630396,0.4315068493150685,7
11.90679,0,0.2361185041022266,0.3562447611064543,15
10.20582,0,0.17811971316612907,0.4524979524979525,9
6.23689,0,0.09326603190344697,0.3825,11
8.221355,0,0.15045897159897526,0.32952598515134207,13
8.9300925,0,0.18653206380689397,0.4624183006535948,10
4.53592,1,0.09940195505498954,0.4728682170542636,10
